"filename", "language", "YAML", "JSON", "Markdown", "JavaScript", "HTML", "JSON with Comments", "CSS", "JavaScript React", "XML", "comment", "blank", "total"
"e:\Class\大四上\web\CareFreeJourney\packages\CClient\src\pages\animate.css", "CSS", 0, 0, 0, 0, 0, 0, -2375, 0, 0, -16, -404, -2795
"e:\Class\大四上\web\CareFreeJourney\packages\CClient\src\pages\router.js", "JavaScript", 0, 0, 0, -19, 0, 0, 0, 0, 0, 0, -3, -22
"e:\Class\大四上\web\CareFreeJourney\packages\CClient\src\request\index.js", "JavaScript", 0, 0, 0, -121, 0, 0, 0, 0, 0, 0, -15, -136
"e:\Class\大四上\web\CareFreeJourney\packages\CClient\src\store\Appstore.js", "JavaScript", 0, 0, 0, -320, 0, 0, 0, 0, 0, -2, -36, -358
"e:\Class\大四上\web\CareFreeJourney\packages\CClient\src\store\Editorstore.js", "JavaScript", 0, 0, 0, -176, 0, 0, 0, 0, 0, -19, -27, -222
"e:\Class\大四上\web\CareFreeJourney\packages\CClient\src\store\Peoplestore.js", "JavaScript", 0, 0, 0, -167, 0, 0, 0, 0, 0, 0, -14, -181
"e:\Class\大四上\web\CareFreeJourney\packages\CClient\src\store\Setterstore.js", "JavaScript", 0, 0, 0, -109, 0, 0, 0, 0, 0, 0, -9, -118
"e:\Class\大四上\web\CareFreeJourney\packages\CClient\src\store\index.js", "JavaScript", 0, 0, 0, -10, 0, 0, 0, 0, 0, 0, -2, -12
"e:\Class\大四上\web\CareFreeJourney\packages\CClient\src\template\index.html", "HTML", 0, 0, 0, 0, -17, 0, 0, 0, 0, 0, 0, -17
"e:\Class\大四上\web\CareFreeJourney\packages\CClient\src\utils\index.js", "JavaScript", 0, 0, 0, -22, 0, 0, 0, 0, 0, 0, -6, -28
"e:\Class\大四上\web\CareFreeJourney\packages\ManageClient\.eslintrc.json", "JSON with Comments", 0, 0, 0, 0, 0, -25, 0, 0, 0, 0, 0, -25
"e:\Class\大四上\web\CareFreeJourney\packages\ManageClient\README.md", "Markdown", 0, 0, -13, 0, 0, 0, 0, 0, 0, 0, -4, -17
"e:\Class\大四上\web\CareFreeJourney\packages\ManageClient\build\dev-server.js", "JavaScript", 0, 0, 0, -30, 0, 0, 0, 0, 0, 0, -9, -39
"e:\Class\大四上\web\CareFreeJourney\packages\ManageClient\build\webpack.base.js", "JavaScript", 0, 0, 0, -70, 0, 0, 0, 0, 0, 0, -2, -72
"e:\Class\大四上\web\CareFreeJourney\packages\ManageClient\build\webpack.dev.js", "JavaScript", 0, 0, 0, -34, 0, 0, 0, 0, 0, -2, -2, -38
"e:\Class\大四上\web\CareFreeJourney\packages\ManageClient\build\webpack.prod.js", "JavaScript", 0, 0, 0, -53, 0, 0, 0, 0, 0, -1, -3, -57
"e:\Class\大四上\web\CareFreeJourney\packages\ManageClient\config\index.js", "JavaScript", 0, 0, 0, -21, 0, 0, 0, 0, 0, 0, -2, -23
"e:\Class\大四上\web\CareFreeJourney\packages\ManageClient\dist\index.html", "HTML", 0, 0, 0, 0, -10, 0, 0, 0, 0, 0, -1, -11
"e:\Class\大四上\web\CareFreeJourney\packages\ManageClient\package.json", "JSON", 0, -65, 0, 0, 0, 0, 0, 0, 0, 0, -1, -66
